STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
025500,99999, 19780115,   31.6,24,   30.9,24, 9999.9, 0, 9999.9, 0,   3.6,24,  11.2,24,  15.9,  26.8,   35.6*,  19.4 , 0.01F,999.9, 010000,
025500,99999, 19780120,   30.0,24,   24.8,24, 9999.9, 0, 9999.9, 0,   6.0,24,   9.8,24,  14.0,  23.9,   32.0*,  28.4*, 0.00F,  2.8, 000000,
025500,99999, 19780125,   28.8,24,   27.0,24, 9999.9, 0, 9999.9, 0,   1.9,24,  10.1,24,  11.8,  21.0,   30.2 ,  26.6*, 0.24F,  4.7, 001000,
025500,99999, 19780129,   31.9,24,   29.5,24, 9999.9, 0, 9999.9, 0,   3.9,24,   8.3,24,  14.0,  22.0,   33.8 ,  30.2 , 0.00F,  6.7, 001000,
025500,99999, 19780201,   29.2,24,   27.6,24, 9999.9, 0, 9999.9, 0,   4.1,24,   4.3,24,  10.9, 999.9,   30.2 ,  28.4 , 0.09F, 10.2, 001000,
025500,99999, 19780205,   25.6,24,   22.3,24, 9999.9, 0, 9999.9, 0,   4.2,24,   6.5,24,   9.9,  17.9,   28.4 ,  23.0*, 0.01F, 11.8, 011000,
025500,99999, 19780210,   15.3,24,   12.2,24, 9999.9, 0, 9999.9, 0,   6.1,24,   5.9,24,   9.9, 999.9,   19.4 ,   3.2*, 0.01F, 13.4, 001000,
025500,99999, 19780215,    3.0,24,   -2.2,24, 9999.9, 0, 9999.9, 0,   7.1,24,   1.8,24,   8.9, 999.9,   14.0 ,  -9.4*, 0.00F, 17.7, 001000,
025500,99999, 19780220,   23.6,24,   18.7,24, 9999.9, 0, 9999.9, 0,   9.7,24,   8.2,24,  14.0,  25.8,   33.8*,  10.4*, 0.00H, 14.2, 001000,
025500,99999, 19780225,   35.6,24,   35.6,24, 9999.9, 0, 9999.9, 0,   0.3,24,   4.2,24,   8.9, 999.9,   39.2 ,  32.0 , 0.00F, 13.0, 100000,
025500,99999, 19780301,   31.9,24,   31.9,24, 9999.9, 0, 9999.9, 0,   0.1,24,   1.9,24,   5.1, 999.9,   33.8 ,  30.2 , 0.00F,  8.7, 100000,
025500,99999, 19780305,   32.4,24,   31.9,24, 9999.9, 0, 9999.9, 0,   2.2,24,   4.5,24,  11.1, 999.9,   35.6 ,  32.0 , 0.24F,  5.9, 011000,
025500,99999, 19780310,   31.8,24,   30.4,24, 9999.9, 0, 9999.9, 0,   5.0,24,  10.7,24,  17.9,  31.9,   37.4*,  26.6 , 0.04F,  7.9, 110000,
025500,99999, 19780315,   34.0,24,   33.6,24, 9999.9, 0, 9999.9, 0,   3.2,24,   6.2,24,   9.9, 999.9,   37.4 ,  26.6*, 0.71F,999.9, 111000,
025500,99999, 19780320,   17.4,24,   12.5,24, 9999.9, 0, 9999.9, 0,   7.4,24,   9.1,24,  15.0,  25.8,   26.6 ,  -5.8 , 0.00F, 15.0, 001000,
025500,99999, 19780325,   33.3,24,   31.0,24, 9999.9, 0, 9999.9, 0,   5.1,24,  11.6,24,  17.9,  34.0,   37.4 ,  32.0*, 0.16E, 11.4, 011000,
025500,99999, 19780329,   43.2,24,   41.0,24, 9999.9, 0, 9999.9, 0,   4.5,24,  13.3,24,  19.8,  31.9,   53.6 ,  39.2 , 0.16F,999.9, 010000,
025500,99999, 19780401,   38.7,23,   32.4,23, 9999.9, 0, 9999.9, 0,   6.2,23,   6.6,23,  12.8, 999.9,   44.6 ,  32.0 , 0.00F,999.9, 010000,
025500,99999, 19780405,   30.7,20,   17.7,20, 9999.9, 0, 9999.9, 0,   8.2,20,   8.6,20,  13.0, 999.9,   37.4 ,  24.8 , 0.00F,999.9, 000000,
025500,99999, 19780410,   43.2,24,   30.9,24, 9999.9, 0, 9999.9, 0,   5.0,24,   9.6,24,  16.9,  31.9,   53.6 ,  35.6 , 0.00F,999.9, 000000,
025500,99999, 19780415,   36.1,24,   20.9,24, 9999.9, 0, 9999.9, 0,   9.5,24,   6.0,24,  11.8, 999.9,   46.4 ,  24.8 , 0.00F,999.9, 000000,
025500,99999, 19780420,   36.9,23,   33.3,23, 9999.9, 0, 9999.9, 0,   5.7,23,   7.1,23,   9.9, 999.9,   46.4 ,  32.0 , 0.00F,999.9, 010000,
025500,99999, 19780425,   29.9,24,   23.4,24, 9999.9, 0, 9999.9, 0,   6.0,24,  13.4,24,  21.0,  31.9,   33.8 ,  26.6*, 0.28F,  7.5, 001000,
025500,99999, 19780429,   35.6,24,   19.5,24, 9999.9, 0, 9999.9, 0,   7.2,24,   3.8,24,   9.9,  22.0,   48.2 ,  19.4 , 0.00F,999.9, 000000,
025500,99999, 19780501,   39.5,24,   22.5,24, 9999.9, 0, 9999.9, 0,   7.8,24,   8.2,24,  11.8, 999.9,   51.8 ,  28.4 , 0.00F,999.9, 000000,
025500,99999, 19780505,   51.5,24,   27.9,24, 9999.9, 0, 9999.9, 0,   6.7,24,   4.9,24,  10.9, 999.9,   64.4 ,  35.6 , 0.00F, 10.6, 000000,
025500,99999, 19780510,   35.0,24,   22.6,24, 9999.9, 0, 9999.9, 0,   7.5,24,  14.7,24,  23.9,  35.9,   42.8 ,  26.6*, 0.00F,999.9, 011000,
025500,99999, 19780515,   40.8,24,   29.3,24, 9999.9, 0, 9999.9, 0,   7.4,24,   4.6,24,  11.8, 999.9,   50.0 ,  28.4*, 0.00F,999.9, 000000,
025500,99999, 19780520,   52.9,24,   43.3,24, 9999.9, 0, 9999.9, 0,   5.3,24,   6.0,24,  12.8, 999.9,   66.2 ,  44.6 , 0.04F,999.9, 010000,
025500,99999, 19780525,   55.0,24,   34.9,24, 9999.9, 0, 9999.9, 0,   8.0,24,   4.1,24,  10.9, 999.9,   68.0 ,  35.6 , 0.00F,999.9, 000000,
025500,99999, 19780529,   65.1,24,   44.8,24, 9999.9, 0, 9999.9, 0,   9.6,24,   3.8,24,  10.9, 999.9,   78.8 ,  44.6 , 0.00F,999.9, 100000,
025500,99999, 19780601,   67.0,24,   45.4,24, 9999.9, 0, 9999.9, 0,   7.5,24,   6.4,24,  13.0,  22.9,   82.4 ,  44.6 , 0.00F,999.9, 000000,
025500,99999, 19780605,   66.8,24,   50.7,24, 9999.9, 0, 9999.9, 0,   6.5,24,   3.2,24,   8.9, 999.9,   78.8 ,  50.0 , 0.00F,999.9, 000000,
025500,99999, 19780610,   52.4,24,   45.1,24, 9999.9, 0, 9999.9, 0,   8.7,24,  12.6,24,  18.8,  32.8,   60.8 ,  48.2 , 0.22F,999.9, 010000,
025500,99999, 19780615,   51.1,24,   33.0,24, 9999.9, 0, 9999.9, 0,   9.2,24,   6.9,24,  15.0,  21.0,   62.6 ,  33.8 , 0.00F,999.9, 000000,
025500,99999, 19780620,   57.6,24,   43.8,24, 9999.9, 0, 9999.9, 0,   7.5,24,   8.2,24,  20.0,  22.0,   69.8 ,  46.4 , 0.00F,999.9, 000000,
025500,99999, 19780625,   55.5,24,   41.2,24, 9999.9, 0, 9999.9, 0,   6.9,24,   6.7,24,  15.0, 999.9,   64.4 ,  42.8*, 0.00F,999.9, 000000,
025500,99999, 19780629,   56.5,24,   47.1,24, 9999.9, 0, 9999.9, 0,   6.4,24,   9.6,24,  15.0,  26.8,   64.4 ,  50.0 , 0.08F,999.9, 010000,
025500,99999, 19780701,   58.2,24,   51.0,24, 9999.9, 0, 9999.9, 0,   5.5,24,   7.0,24,  15.9, 999.9,   66.2 ,  51.8*, 0.33F,999.9, 010000,
025500,99999, 19780705,   55.8,24,   45.2,24, 9999.9, 0, 9999.9, 0,   6.0,24,   5.1,24,  14.0, 999.9,   66.2 ,  44.6*, 0.08F,999.9, 110010,
025500,99999, 19780710,   59.4,24,   49.3,24, 9999.9, 0, 9999.9, 0,   6.9,24,   5.3,24,  17.9,  31.9,   75.2 ,  48.2 , 0.41F,999.9, 110110,
025500,99999, 19780715,   53.4,24,   40.8,24, 9999.9, 0, 9999.9, 0,   7.1,24,   4.7,24,   9.9,  15.9,   62.6 ,  48.2 , 0.04F,999.9, 010000,
025500,99999, 19780720,   53.5,24,   48.3,24, 9999.9, 0, 9999.9, 0,   6.1,24,   5.2,24,  11.8, 999.9,   60.8 ,  46.4*, 0.09F,999.9, 110000,
025500,99999, 19780725,   60.0,24,   46.7,24, 9999.9, 0, 9999.9, 0,   6.2,24,   5.7,24,  10.9, 999.9,   68.0 ,  46.4*, 0.00H,999.9, 010000,
025500,99999, 19780729,   65.1,24,   51.1,24, 9999.9, 0, 9999.9, 0,   6.2,24,   1.6,24,   5.8, 999.9,   78.8 ,  46.4 , 0.00F,999.9, 000000,
025500,99999, 19780801,   67.8,24,   57.9,24, 9999.9, 0, 9999.9, 0,   6.3,24,   2.9,24,  16.9,  26.8,   82.4 ,  53.6 , 0.59F,999.9, 110010,
025500,99999, 19780805,   59.2,24,   54.6,24, 9999.9, 0, 9999.9, 0,   5.5,24,   3.2,24,  10.9, 999.9,   64.4 ,  55.4 , 0.02F,999.9, 010000,
025500,99999, 19780810,   58.5,24,   44.1,24, 9999.9, 0, 9999.9, 0,   9.9,24,   4.6,24,  11.8, 999.9,   69.8 ,  44.6 , 0.08F,999.9, 010000,
025500,99999, 19780815,   57.8,24,   55.3,24, 9999.9, 0, 9999.9, 0,   3.4,24,   7.2,24,  12.8, 999.9,   64.4 ,  51.8 , 0.16F,999.9, 010000,
025500,99999, 19780820,   59.7,24,   44.9,24, 9999.9, 0, 9999.9, 0,   6.9,24,   3.9,24,   9.9, 999.9,   75.2 ,  42.8 , 0.00F,999.9, 100000,
025500,99999, 19780825,   53.3,24,   41.4,24, 9999.9, 0, 9999.9, 0,   7.2,24,  12.0,24,  18.8,  32.8,   60.8 ,  48.2*, 0.08F,999.9, 010000,
025500,99999, 19780829,   47.9,24,   43.7,24, 9999.9, 0, 9999.9, 0,   8.5,24,   5.1,24,  11.8, 999.9,   55.4 ,  39.2 , 0.00F,999.9, 010000,
025500,99999, 19780901,   49.0,24,   47.4,24, 9999.9, 0, 9999.9, 0,   5.0,24,  14.7,24,  22.0,  35.0,   51.8 ,  46.4*, 1.57F,999.9, 010000,
025500,99999, 19780905,   50.1,24,   46.9,24, 9999.9, 0, 9999.9, 0,   6.7,24,  11.2,24,  17.1,  29.9,   55.4 ,  48.2 , 0.02F,999.9, 010000,
025500,99999, 19780910,   53.1,24,   49.8,24, 9999.9, 0, 9999.9, 0,   6.8,24,  11.2,24,  16.9,  31.9,   59.0 ,  50.0 , 0.47F,999.9, 010000,
025500,99999, 19780915,   48.8,24,   45.4,24, 9999.9, 0, 9999.9, 0,   7.1,24,  10.7,24,  15.9,  28.0,   51.8 ,  46.4*, 0.20F,999.9, 010000,
025500,99999, 19780920,   41.4,24,   28.6,24, 9999.9, 0, 9999.9, 0,   6.7,24,   8.5,24,  12.8,  22.9,   50.0 ,  32.0 , 0.00F,999.9, 010000,
025500,99999, 19780925,   48.1,24,   40.4,24, 9999.9, 0, 9999.9, 0,   7.6,24,   9.6,24,  19.0,  32.8,   57.2 ,  42.8 , 0.00F,999.9, 010000,
025500,99999, 19780929,   44.7,24,   42.1,24, 9999.9, 0, 9999.9, 0,   6.7,24,   5.2,24,   8.9, 999.9,   50.0 ,  41.0*, 0.04F,999.9, 010000,
025500,99999, 19781001,   37.4,24,   30.6,24, 9999.9, 0, 9999.9, 0,   8.0,24,   5.0,24,  10.9, 999.9,   44.6 ,  28.4*, 0.00F,999.9, 000000,
025500,99999, 19781005,   43.8,24,   40.8,24, 9999.9, 0, 9999.9, 0,   7.5,24,   8.1,24,  16.9,  28.0,   51.8 ,  39.2 , 0.12F,999.9, 010000,
025500,99999, 19781010,   54.0,24,   48.5,24, 9999.9, 0, 9999.9, 0,   5.9,24,   8.5,24,  14.0,  23.9,   59.0 ,  51.8 , 0.00F,999.9, 000000,
025500,99999, 19781015,   45.0,24,   40.3,24, 9999.9, 0, 9999.9, 0,   3.7,24,   4.6,24,  12.8, 999.9,   51.8 ,  37.4 , 0.01F,999.9, 110000,
025500,99999, 19781020,   44.8,24,   38.6,24, 9999.9, 0, 9999.9, 0,   6.6,24,  13.7,24,  22.0,  37.9,   51.8 ,  37.4*, 0.02F,999.9, 010000,
025500,99999, 19781025,   40.8,24,   28.5,24, 9999.9, 0, 9999.9, 0,   7.8,24,  13.6,24,  22.0,  36.9,   46.4 ,  33.8*, 0.02F,999.9, 011100,
025500,99999, 19781029,   46.6,24,   44.3,24, 9999.9, 0, 9999.9, 0,   6.9,24,   6.3,24,   9.9,  28.9,   51.8 ,  41.0*, 0.01F,999.9, 010000,
025500,99999, 19781101,   46.9,24,   44.8,24, 9999.9, 0, 9999.9, 0,   4.4,24,   9.5,24,  14.0, 999.9,   51.8 ,  39.2*, 0.04F,999.9, 110000,
025500,99999, 19781105,   50.5,24,   49.5,24, 9999.9, 0, 9999.9, 0,   3.0,24,  12.3,24,  22.0,  36.9,   53.6*,  42.8 , 0.16F,999.9, 010000,
025500,99999, 19781110,   47.5,24,   42.3,24, 9999.9, 0, 9999.9, 0,   5.8,24,  15.7,24,  19.8,  34.0,   50.0 ,  44.6*, 0.00F,999.9, 010000,
025500,99999, 19781115,   45.6,24,   39.7,24, 9999.9, 0, 9999.9, 0,   5.5,24,  18.1,24,  28.9,  52.8,   48.2 ,  42.8*, 0.16F,999.9, 010000,
025500,99999, 19781120,   37.1,24,   36.3,24, 9999.9, 0, 9999.9, 0,   6.7,24,   6.5,24,  11.8,  12.8,   41.0*,  33.8*, 0.63F,999.9, 010000,
025500,99999, 19781125,   30.2,24,   30.1,24, 9999.9, 0, 9999.9, 0,   5.4,24,   5.5,24,   8.9, 999.9,   33.8 ,  24.8*, 0.00F,999.9, 100000,
025500,99999, 19781129,   24.7,24,   22.0,24, 9999.9, 0, 9999.9, 0,   6.1,24,  14.6,24,  18.8,  32.8,   26.6 ,  23.0*, 0.02F,  1.2, 011100,
025500,99999, 19781201,   28.1,24,   26.9,24, 9999.9, 0, 9999.9, 0,   4.4,24,   7.5,24,  10.9, 999.9,   32.0*,  24.8 , 0.01F,  1.6, 011100,
025500,99999, 19781205,   21.4,24,   20.4,24, 9999.9, 0, 9999.9, 0,   4.8,24,   1.3,24,   5.8, 999.9,   24.8 ,  14.0*, 0.00F,  1.2, 100000,
025500,99999, 19781210,   24.9,24,   20.7,24, 9999.9, 0, 9999.9, 0,   6.1,24,   2.5,24,   7.0, 999.9,   26.6 ,  21.2*, 0.00F,999.9, 001000,
025500,99999, 19781215,   18.3,24,   15.7,24, 9999.9, 0, 9999.9, 0,   6.4,24,   7.4,24,  11.1,  22.0,   24.8*,  12.2*, 0.02F,  9.1, 001000,
025500,99999, 19781220,   30.8,24,   30.6,24, 9999.9, 0, 9999.9, 0,   1.8,24,   3.1,24,   8.9, 999.9,   33.8*,  30.2 , 0.00F,  7.1, 100000,
025500,99999, 19781225,   23.8,24,   21.4,24, 9999.9, 0, 9999.9, 0,   3.4,24,  12.7,24,  15.9,  28.9,   24.8*,  19.4 , 0.17F,999.9, 001000,
025500,99999, 19781229,    8.5,24,    4.6,24, 9999.9, 0, 9999.9, 0,   7.0,24,   9.2,24,  15.0,  22.9,   14.0*,   5.0*, 0.02F,999.9, 001000,
025500,99999, 19790101,    4.5,24,   -0.6,24, 9999.9, 0, 9999.9, 0,   6.8,24,   8.0,24,  17.9,  25.8,    8.6 ,  -2.2*, 0.01F,999.9, 001000,
025500,99999, 19790105,    8.0,24,    6.2,24, 9999.9, 0, 9999.9, 0,   5.1,24,   5.8,24,  14.0, 999.9,   12.2 ,   1.4*, 0.03F,999.9, 001000,
025500,99999, 19790110,   28.6,24,   27.2,24, 9999.9, 0, 9999.9, 0,   4.4,24,   4.4,24,   8.9, 999.9,   30.2*,  26.6*, 0.16F,999.9, 011000,
025500,99999, 19790115,   24.3,24,   22.8,24, 9999.9, 0, 9999.9, 0,   2.8,24,   6.9,24,  10.9, 999.9,   26.6 ,  21.2*, 0.00F,999.9, 011000,
025500,99999, 19790120,   20.8,24,   18.9,24, 9999.9, 0, 9999.9, 0,   4.5,24,   5.1,24,   8.9, 999.9,   23.0*,  19.4*, 0.00F, 13.8, 011000,
025500,99999, 19790125,   16.9,24,   15.0,24, 9999.9, 0, 9999.9, 0,   2.9,24,   4.4,24,  12.8, 999.9,   28.4*,  14.0*, 0.16E,999.9, 001000,
025500,99999, 19790129,   17.7,24,   15.7,24, 9999.9, 0, 9999.9, 0,   3.2,24,   3.6,24,   8.0, 999.9,   21.2 ,   8.6*, 0.02F, 19.3, 011000,
025500,99999, 19790201,   20.2,24,   19.3,24, 9999.9, 0, 9999.9, 0,   4.3,24,   7.0,24,  15.0, 999.9,   32.0 ,  -0.4*, 0.08F, 26.0, 011000,
025500,99999, 19790205,   26.5,24,   23.8,24, 9999.9, 0, 9999.9, 0,   6.7,24,   6.1,24,  10.9, 999.9,   30.2 ,  12.2*, 0.00F, 24.0, 100000,
025500,99999, 19790210,   21.6,24,   12.8,24, 9999.9, 0, 9999.9, 0,   7.9,24,   6.9,24,  16.9,  28.0,   32.0 ,   8.6 , 0.00F, 22.4, 000000,
025500,99999, 19790215,   -0.6,24,   -3.6,24, 9999.9, 0, 9999.9, 0,   6.6,24,  11.3,24,  17.1,  22.0,    6.8*,  -7.6 , 0.00F, 22.0, 011000,
025500,99999, 19790220,   22.1,23,   18.7,23, 9999.9, 0, 9999.9, 0,   4.7,23,   1.5,23,   7.0, 999.9,   32.0 ,   6.8*, 0.00F,999.9, 100000,
025500,99999, 19790225,   24.4,24,   16.4,24, 9999.9, 0, 9999.9, 0,   7.9,24,   5.5,24,  12.0, 999.9,   39.2 ,   3.2 , 0.00F, 18.5, 000000,
025500,99999, 19790301,   28.0,24,   19.2,24, 9999.9, 0, 9999.9, 0,   3.0,24,   7.3,24,  13.0, 999.9,   33.8 ,  21.2 , 0.00F,999.9, 001000,
025500,99999, 19790305,   34.6,24,   31.1,24, 9999.9, 0, 9999.9, 0,   7.1,24,  19.9,24,  22.9,  38.9,   37.4 ,  33.8 , 0.00F,999.9, 011000,
025500,99999, 19790310,   31.9,24,   30.7,24, 9999.9, 0, 9999.9, 0,   5.4,24,   9.9,24,  18.1, 999.9,   33.8 ,  28.4*, 0.28F, 12.6, 011000,
025500,99999, 19790315,   18.9,21,   16.5,21, 9999.9, 0, 9999.9, 0,   4.9,21,   3.9,21,   9.9, 999.9,   26.6 ,   6.8 , 0.01F, 16.9, 101000,
025500,99999, 19790320,   24.6,24,   17.9,24, 9999.9, 0, 9999.9, 0,   5.6,24,  11.4,24,  22.0,  31.9,   30.2*,  15.8*, 0.01E, 15.4, 001000,
025500,99999, 19790325,   32.0,24,   25.8,24, 9999.9, 0, 9999.9, 0,   4.4,24,  14.2,24,  23.9,  39.8,   37.4 ,  26.6 , 0.00F, 16.1, 011000,
